SPECIES	QUERY	SYMBOL
mouse	EIF2C2	Ago2
rat	EIF2C2	Ago2
human	C2ORF56	NDUFAF7
human	PRAME	PRAME
mouse	PRAME	Prame
rat	PRAME	Prame
human	ZNF767	ZNF767P
human	CXORF12	TMEM187
human	C18ORF10	TPGS2
human	TMEM41A	TMEM41A
mouse	TMEM41A	Tmem41a
rat	TMEM41A	Tmem41a
human	ORC6L	ORC6
mouse	ORC6L	Orc6
rat	ORC6L	Orc6
human	FARSLB	FARSB
mouse	FARSLB	Farsb
rat	FARSLB	Farsb
human	KIAA1530	UVSSA
mouse	KIAA1530	Uvssa
human	ZNF669	ZNF669
human	TMEM1	TRAPPC10
mouse	TMEM1	Trappc10
rat	TMEM1	Trappc10
rat	CTAGE5	Ctage5
human	CTAGE5	MIA2
mouse	CTAGE5	Mia2
human	BTF3L4	BTF3L4
mouse	BTF3L4	Btf3l4
rat	BTF3L4	Btf3l4
human	ZNF763	ZNF763
rat	ZNF763	Zfp763
human	C14ORF102	NRDE2
human	C20ORF20	MRGBP
human	FAM153B	FAM153B
human	DUXAP3	DUXAP3
human	DUXAP3	DUXAP3
human	EIF5AL1	EIF5AL1
human	ZNF660	ZNF660
rat	ZNF660	Znf660
human	DKFZP434K191	POM121L8P
human	POLR2J4	POLR2J4
human	POLR2J4	POLR2J4
human	POLR2J4	POLR2J4
human	C6ORF170	TBC1D32
mouse	C6ORF170	Tbc1d32
human	C21ORF55	DNAJC28
human	LILRB1	LILRB1
rat	LILRB1	Lilrb1
human	DPRXP4	DPRXP4
human	DPRXP4	DPRXP4
human	ZNF557	ZNF557
human	RN7SL1	RN7SL1
rat	RN7SL1	Rn7sl1
rat	RN7SL1	Rn7sl1
human	ZNF486	ZNF486
human	SCNN1D	SCNN1D
rat	SCNN1D	Scnn1d
mouse	SCNN1D	Gm20552
human	SAPS2	PPP6R2
mouse	SAPS2	Ppp6r2
rat	SAPS2	Ppp6r2
human	ANKRD30B	ANKRD30B
human	RUNDC2C	SNX29P2
human	MLL5	KMT2E
mouse	MLL5	Kmt2e
rat	MLL5	Kmt2e
human	MST4	STK26
mouse	MST4	Stk26
rat	MST4	Stk26
human	C10ORF61	TCTN3
human	GSTTP2	GSTTP2
human	SIVA	SIVA1
mouse	SIVA	Siva1
rat	SIVA	Siva1
human	FAM115A	TCAF1
mouse	FAM115A	Tcaf1
rat	FAM115A	Tcaf1
human	WDR23	DCAF11
mouse	WDR23	Dcaf11
rat	WDR23	Dcaf11
human	CDC2L2	CDK11A
mouse	CDC2L2	Cdk11b
human	FAM39DP	WASH3P
human	CDC2L6	CDK19
mouse	CDC2L6	Cdk19
rat	CDC2L6	Cdk19
human	SULT1A1	SULT1A1
mouse	SULT1A1	Sult1a1
rat	SULT1A1	Sult1a1
human	FBXO18	FBH1
mouse	FBXO18	Fbh1
rat	FBXO18	Fbh1
human	NLRP8	NLRP8
human	FAM39E	WASHC1
human	LOC441511	LOC441511
human	PPARBP	MED1
mouse	PPARBP	Med1
human	C9ORF130	LINC00476
human	SNORD31	SNORD31
human	RN7SK	RN7SK
human	RN7SK	RN7SK
mouse	RN7SK	Rn7sk
human	KIAA0101	PCLAF
human	C9ORF80	INIP
human	NBPF20	NBPF20
human	KIAA0831	ATG14
human	C17ORF95	METTL23
human	CCDC140	CCDC140
human	C8ORF45	MCMDC2
human	RAD51	RAD51
mouse	RAD51	Rad51
rat	RAD51	Rad51
mouse	RAD51	Xrcc2
human	HMHA1	ARHGAP45
mouse	HMHA1	Arhgap45
rat	HMHA1	Arhgap45
human	MSL3L1	MSL3
mouse	MSL3L1	Msl3
rat	MSL3L1	Msl3
human	SKIV2L2	MTREX
mouse	SKIV2L2	Mtrex
rat	SKIV2L2	Mtrex
human	LOC400464	LOC400464
human	SDHALP1	SDHAP1
rat	MCART1	Mcart1
human	MCART1	SLC25A51
mouse	MCART1	Slc25a51
human	KIAA1012	TRAPPC8
human	LOC729603	LOC729603
human	C5ORF44	TRAPPC13
human	KIAA1875	WDR97
human	ATPBD1B	GPN2
mouse	ATPBD1B	Gpn2
rat	ATPBD1B	Gpn2
human	C20ORF94	SLX4IP
human	C14ORF131	ZNF839
human	C8ORF37	C8orf37
human	AIM1	CRYBG1
human	AIM1	SLC45A2
human	AIM1	AURKB
mouse	AIM1	Aurkb
mouse	AIM1	Slc45a2
mouse	AIM1	Crybg1
rat	AIM1	Aurkb
rat	AIM1	Crybg1
human	RIPK5	DSTYK
mouse	RIPK5	Dstyk
rat	RIPK5	Dstyk
human	ALS2CR14	ICA1L
human	RAXL1	RAX2
human	BCYRN1	BCYRN1
human	ZNF565	ZNF565
human	C14ORF179	IFT43
human	FAM40B	STRIP2
mouse	FAM40B	Strip2
human	ZNF653	ZNF653
mouse	ZNF653	Zfp653
human	CCDC49	CWC25
mouse	CCDC49	Cwc25
rat	CCDC49	Cwc25
human	LOC728739	LOC728739
human	C20ORF194	C20orf194
human	MOBKL2A	MOB3A
mouse	MOBKL2A	Mob3a
rat	MOBKL2A	Mob3a
human	ZNF430	ZNF430
human	PIP5K2B	PIP4K2B
mouse	PIP5K2B	Pip4k2b
rat	PIP5K2B	Pip4k2b
human	TMEM137	RBM14
human	WDR79	WRAP53
mouse	WDR79	Wrap53
rat	WDR79	Wrap53
human	ERCC5	ERCC5
mouse	ERCC5	Ercc5
rat	ERCC5	Ercc5
rat	ERCC5	Ercc5
human	CEP27	HAUS2
mouse	CEP27	Haus2
rat	CEP27	Haus2
human	SIRPG	SIRPG
human	URG4	URGCP
mouse	URG4	Urgcp
rat	URG4	Urgcp
human	ZNF223	ZNF223
human	C9ORF119	SWI5
human	FAM46C	TENT5C
mouse	FAM46C	Tent5c
rat	FAM46C	Tent5c
human	U2AF1L2	ZRSR2
human	C13ORF23	PROSER1
human	RPL23AP7	RPL23AP7
human	RPL23AP7	RPL23AP7
human	TUG1	TUG1
human	TUG1	TUG1
mouse	TUG1	Tug1
mouse	TUG1	Tug1
rat	TUG1	Tug1
rat	TUG1	Tug1
human	C17ORF70	FAAP100
human	ARL17P1	ARL17A
human	ZNF364	RNF115
human	C15ORF24	EMC7
human	C13ORF15	RGCC
human	FER1L3	MYOF
mouse	FER1L3	Myof
rat	FER1L3	Myof
human	PGCP	CPQ
mouse	PGCP	Cpq
rat	PGCP	Cpq
human	CCDC109A	MCU
mouse	CCDC109A	Mcu
rat	CCDC109A	Mcu
human	MTP18	MTFP1
mouse	MTP18	Mtfp1
rat	MTP18	Mtfp1
human	C1ORF31	COA6
human	WWC3	WWC3
rat	WWC3	Wwc3
human	HNRPUL1	HNRNPUL1
mouse	HNRPUL1	Hnrnpul1
rat	HNRPUL1	Hnrnpul1
human	VENTX	VENTX
human	CXORF26	PBDC1
human	FAM125B	MVB12B
mouse	FAM125B	Mvb12b
rat	FAM125B	Mvb12b
human	C12ORF35	KIAA1551
human	UBE1DC1	UBA5
mouse	UBE1DC1	Uba5
rat	UBE1DC1	Uba5
human	C14ORF142	GON7
human	TM7SF4	DCSTAMP
mouse	TM7SF4	Dcstamp
rat	TM7SF4	Dcstamp
human	ZBED1	ZBED1
human	ZNF564	ZNF564
human	FAM55C	NXPE3
mouse	FAM55C	Nxpe3
rat	FAM55C	Nxpe3
human	MAGMAS	PAM16
mouse	MAGMAS	Pam16
rat	MAGMAS	Pam16
rat	MAGMAS	Magmas-ps1
human	EIF2C4	AGO4
mouse	EIF2C4	Ago4
rat	EIF2C4	Ago4
human	UGCGL2	UGGT2
mouse	UGCGL2	Uggt2
human	CD97	ADGRE5
human	CD97	ADGRE2
mouse	CD97	Adgre5
rat	CD97	Adgre5
human	CYCSL1	CYCSP55
human	C21ORF119	URB1-AS1
human	C17ORF63	FAM222B
human	ZNF470	ZNF470
human	KIAA0562	CEP104
mouse	KIAA0562	Cep104
human	NP	KLK8
human	NP	ZNF384
human	NP	PNP
mouse	NP	Pnp
mouse	NP	Klk8
mouse	NP	Ctf2
mouse	NP	Zfp384
rat	NP	Pnp
human	NP	CTF2P
human	C10ORF54	VSIR
human	ZNF823	ZNF823
human	ZNF419	ZNF419
human	PHACS	ACCS
mouse	PHACS	Accs
human	KIAA1009	CEP162
human	C6ORF85	SLC22A23
human	CD68	CD68
mouse	CD68	Cd68
rat	CD68	Cd68
human	PPAPDC2	PLPP6
mouse	PPAPDC2	Plpp6
rat	PPAPDC2	Plpp6
human	TXNL2	GLRX3
mouse	TXNL2	Glrx3
rat	TXNL2	Glrx3
human	ZNF187	ZSCAN26
mouse	ZNF187	Zscan26
rat	ZNF187	Zscan26
human	VDAC1	VDAC1
mouse	VDAC1	Vdac1
rat	VDAC1	Vdac1
human	ZNF20	ZNF20
human	ZNF20	ZNF197
human	ZNF20	ZNF121
human	ZNF613	ZNF613
human	SFRS13A	SRSF10
mouse	SFRS13A	Srsf10
human	JARID1D	KDM5D
mouse	JARID1D	Kdm5d
rat	JARID1D	Kdm5d
human	ZKSCAN3	ZKSCAN3
mouse	ZKSCAN3	Zkscan3
rat	ZKSCAN3	Zkscan3
human	GATS	CASTOR3
mouse	GATS	Castor2
rat	GATS	Castor2
human	RNF135	RNF135
mouse	RNF135	Rnf135
rat	RNF135	Rnf135
human	P2RY8	P2RY8
human	SGK	SGK1
mouse	SGK	Sgk1
rat	SGK	Sgk1
human	C3ORF37	HMCES
human	FAM62B	ESYT2
mouse	FAM62B	Esyt2
human	CRSP9	MED7
mouse	CRSP9	Med7
rat	CRSP9	Med7
human	SULT1A2	SULT1A2
mouse	SULT1A2	Sult1c1
rat	SULT1A2	Sult1c3
human	LOC389641	LOC389641
human	BHLHB2	BHLHE40
mouse	BHLHB2	Bhlhe40
rat	BHLHB2	Bhlhe40
human	AGXT2L2	PHYKPL
mouse	AGXT2L2	Phykpl
rat	AGXT2L2	Phykpl
mouse	EMR4	Adgre4
rat	EMR4	Adgre4
human	EMR4	ADGRE4P
human	PRKCDBP	CAVIN3
mouse	PRKCDBP	Cavin3
rat	PRKCDBP	Cavin3
human	FAM44B	BOD1
mouse	FAM44B	Bod1
rat	FAM44B	Bod1
mouse	ERO1L	Ero1l
human	ERO1L	ERO1A
rat	ERO1L	Ero1a
human	LOC729317	LOC729317
human	SCYL1BP1	GORAB
mouse	SCYL1BP1	Gorab
rat	SCYL1BP1	Gorab
human	SDCCAG3	ENTR1
mouse	SDCCAG3	Entr1
rat	SDCCAG3	Entr1
human	EDG1	S1PR1
human	EDG1	HEXIM1
mouse	EDG1	S1pr1
rat	EDG1	S1pr1
human	C15ORF38	C15orf38-AP3S2
human	C15ORF38	ARPIN
human	C1ORF57	NTPCR
human	FKBP9L	FKBP9P1
human	AK3L1	AK3
human	AK3L1	AK4
mouse	AK3L1	Ak4
mouse	AK3L1	Ak3
rat	AK3L1	Ak4
human	C1ORF59	HENMT1
human	POLR3GL	POLR3GL
mouse	POLR3GL	Polr3gl
rat	POLR3GL	Polr3gl
human	MAK10	NAA35
mouse	MAK10	Naa35
rat	MAK10	Naa35
human	C15ORF52	CCDC9B
human	C11ORF59	LAMTOR1
human	FAM18B	TVP23B
mouse	FAM18B	Tvp23b
rat	FAM18B	Fam18b-ps1
human	C3ORF39	POMGNT2
human	C10ORF11	LRMDA
human	SEPP1	SELENOP
mouse	SEPP1	Selenop
rat	SEPP1	Selenop
human	CFH	CFH
mouse	CFH	Cfh
rat	CFH	Cfh
human	LILRB5	LILRB5
human	FAM125A	MVB12A
mouse	FAM125A	Mvb12a
rat	FAM125A	Mvb12a
human	M160	CD163L1
human	MS4A6E	MS4A6E
rat	MS4A6E	Ms4a6e
human	AYP1P1	RNASEH2CP1
human	KIAA0367	PRUNE2
human	PIK4CA	PI4KA
mouse	PIK4CA	Pi4ka
rat	PIK4CA	Pi4ka
human	C7ORF59	LAMTOR4
human	CCDC21	CEP85
mouse	CCDC21	Cep85
rat	CCDC21	Cep85
human	C11ORF74	C11orf74
human	KIAA0146	SPIDR
mouse	KIAA0146	Spidr
human	C1ORF85	GLMP
human	FAM18B2	TVP23C
human	FAM18B2	TVP23C-CDRT4
rat	FAM18B2	Tvp23b
human	NCF1B	NCF1B
human	NCF1B	NCF1B
human	NCF1C	NCF1C
human	NCF1C	NCF1C
human	C4ORF18	FAM198B
human	C6ORF115	ABRACL
human	HISPPD2A	PPIP5K1
mouse	HISPPD2A	Ppip5k1
rat	HISPPD2A	Ppip5k1
human	LINCR	NEURL3
mouse	LINCR	Neurl3
rat	LINCR	Neurl3
human	CUGBP1	CELF1
mouse	CUGBP1	Celf1
rat	CUGBP1	Celf1
human	C1ORF43	C1orf43
human	CCDC109B	MCUB
mouse	CCDC109B	Mcub
rat	CCDC109B	Mcub
human	EFTUD1	EFL1
human	EFTUD1	ELF1
mouse	EFTUD1	Efl1
rat	EFTUD1	Efl1
SPECIES	QUERY	SYMBOL
human	EFTUD1	EFL1
human	EFTUD1	ELF1
mouse	EFTUD1	Efl1
rat	EFTUD1	Efl1
human	ZNF331	ZNF331
human	C6ORF153	RRP36
human	LOC606724	LOC606724
human	FAM119B	EEF1AKMT3
mouse	FAM119B	Eef1akmt3
human	C1ORF216	C1orf216
human	C20ORF4	AAR2
human	C6ORF48	C6orf48
human	ARPC1A	ARPC1A
mouse	ARPC1A	Arpc1a
rat	ARPC1A	Arpc1a
human	FAM58A	CCNQ
mouse	FAM58A	Ccnq
rat	FAM58A	Ccnq
human	C17ORF58	C17orf58
human	C10ORF59	RNLS
mouse	C10ORF59	Rnls
human	C18ORF8	RMC1
rat	C18ORF8	Rmc1
human	GPR109B	HCAR3
mouse	GPR109B	Hcar2
rat	GPR109B	Niacr1
human	GPR109A	HCAR2
mouse	GPR109A	Hcar2
rat	GPR109A	Niacr1
human	TCEAL4	TCEAL4
human	C3ORF75	ELP6
human	C16ORF62	VPS35L
human	ZFYVE16	ZFYVE16
mouse	ZFYVE16	Zfyve16
rat	ZFYVE16	Zfyve16
human	C13ORF31	LACC1
human	UCHL5IP	HAUS7
mouse	UCHL5IP	Haus7
rat	UCHL5IP	Haus7
human	CCDC23	SVBP
mouse	CCDC23	Svbp
rat	CCDC23	Svbp
human	CD300A	CD300A
mouse	CD300A	Cd300a
rat	CD300A	Cd300a
human	DDEF2	ASAP2
mouse	DDEF2	Asap2
rat	DDEF2	Asap2
human	C20ORF52	ROMO1
human	TMEM180	MFSD13A
mouse	TMEM180	Mfsd13a
rat	TMEM180	Mfsd13a
human	WDR40A	DCAF12
mouse	WDR40A	Dcaf12
human	C10ORF119	MCMBP
human	GIMAP2	GIMAP2
human	SEPX1	MSRB1
mouse	SEPX1	Msrb1
rat	SEPX1	Msrb1
human	OR3A4	OR3A4P
human	HIST2H2BE	HIST2H2BE
mouse	HIST2H2BE	Hist2h2be
rat	HIST2H2BE	Hist2h2be
human	RFWD2	COP1
mouse	RFWD2	Cop1
rat	RFWD2	Cop1
human	ITPRIP	ITPRIP
mouse	ITPRIP	Itprip
human	C2ORF24	CNPPD1
human	C5ORF22	C5orf22
human	BTBD12	SLX4
mouse	BTBD12	Slx4
rat	BTBD12	Slx4
human	ANKRD20A1	ANKRD20A1
human	HHEX	HHEX
mouse	HHEX	Hhex
rat	HHEX	Hhex
human	FAM158A	EMC9
mouse	FAM158A	Emc9
rat	FAM158A	Emc9
human	C9ORF89	CARD19
human	CXCL5	CXCL5
mouse	CXCL5	Cxcl5
rat	CXCL5	Cxcl6
human	MYADM	MYADM
mouse	MYADM	Myadm
rat	MYADM	Myadm
human	C1ORF123	C1orf123
human	FTHL7	FTH1P7
human	KIAA0247	SUSD6
human	CCL13	CCL13
human	ZNF439	ZNF439
human	C15ORF57	CCDC32
human	RPS23	RPS23
mouse	RPS23	Rps23
rat	RPS23	Rps23
human	CLLU1OS	CLLU1OS
human	HMGB1L1	CTCFL
human	HMGB1L1	HMGB1P1
human	ZNF17	ZNF17
human	C2ORF25	MMADHC
human	C20ORF11	GID8
human	DC36	CBWD5
human	PTPLB	HACD2
mouse	PTPLB	Hacd2
rat	PTPLB	Hacd2
human	ANKRD57	SOWAHC
mouse	ANKRD57	Sowahc
rat	ANKRD57	Sowahc
human	ARL4A	ARL4A
mouse	ARL4A	Arl4a
rat	ARL4A	Arl4a
human	C20ORF27	C20orf27
human	C12ORF52	RITA1
human	C12ORF62	COX14
rat	C12ORF62	Cox14
human	HNRPUL2	HNRNPUL2
mouse	HNRPUL2	Hnrnpul2
rat	HNRPUL2	Hnrnpul2
human	SBDSP	SBDSP1
mouse	AFG3L1	Afg3l1
rat	AFG3L1	Afg3l1
human	AFG3L1	AFG3L1P
human	ZNF200	ZNF200
human	C9ORF61	FAM189A2
human	ECOP	VOPP1
mouse	ECOP	Vopp1
rat	ECOP	Vopp1
human	WHSC1L1	NSD3
mouse	WHSC1L1	Nsd3
rat	WHSC1L1	Nsd3
mouse	ATPIF1	Atpif1
human	ATPIF1	ATP5IF1
rat	ATPIF1	Atp5if1
human	CUGBP2	CELF2
mouse	CUGBP2	Celf2
rat	CUGBP2	Celf2
human	C14ORF2	ATP5MPL
human	C19ORF61	SMG9
human	ZNF254	ZNF254
human	PITPNC1	PITPNC1
mouse	PITPNC1	Pitpnc1
rat	PITPNC1	Pitpnc1
human	C10ORF46	CACUL1
human	C3ORF10	BRK1
human	GSTT1	GSTT1
mouse	GSTT1	Gstt1
rat	GSTT1	Gstt1
human	C14ORF139	SYNE3
human	HRASLS3	PLA2G16
mouse	HRASLS3	Pla2g16
rat	HRASLS3	Pla2g16
human	RNF160	LTN1
mouse	RNF160	Ltn1
rat	RNF160	Ltn1
mouse	ERO1LB	Ero1lb
human	ERO1LB	ERO1B
rat	ERO1LB	Ero1b
human	DHFRL1	DHFR2
human	C20ORF107	FAM209B
human	C10ORF128	TMEM273
human	C2ORF79	PTRHD1
human	C3ORF1	TIMMDC1
human	LOC93622	LOC93622
human	FBS1	FBRS
human	FBS1	FBXO2
mouse	FBS1	Fbxo2
mouse	FBS1	Fbrs
mouse	SPG20	Spg20
human	SPG20	SPART
rat	SPG20	Spart
human	C19ORF22	R3HDM4
human	FTHL11	FTH1P11
human	FCGBP	FCGBP
mouse	FCGBP	Fcgbp
rat	FCGBP	Fcgbp
mouse	FCGBP	9530053A07Rik
human	APOBEC3F	APOBEC3F
rat	APOBEC3F	Apobec3
human	ZNF509	ZBTB49
mouse	ZNF509	Zbtb49
rat	ZNF509	Zbtb49
human	CT45A4	CT45A5
human	CT45A4	CT45A3
human	C20ORF72	MGME1
human	SRA1	SRA1
mouse	SRA1	Sra1
rat	SRA1	Sra1
human	SRA1	CYFIP1
human	SRA1	SCAF1
human	SRA1	CHERP
human	SRA1	SOX9
mouse	SRA1	Cyfip1
human	COX15	COX15
mouse	COX15	Cox15
rat	COX15	Cox15
human	SNORA25	SNORA25
human	SNORA25	SNORA25
human	ZNF256	ZNF256
human	FAM48A	SUPT20H
mouse	FAM48A	Supt20
rat	FAM48A	Supt20h
human	FTHL12	FTH1P12
human	ZNF544	ZNF544
human	C6ORF57	SDHAF4
mouse	C6ORF57	Sdhaf4
human	ZNF124	ZNF124
rat	ZNF124	Zfp763
human	HIAT1	MFSD14A
mouse	HIAT1	Mfsd14a
rat	HIAT1	Mfsd14a
rat	HIAT1	Hiatl3
human	ZNF642	ZFP69
human	GPR84	GPR84
mouse	GPR84	Gpr84
rat	GPR84	Gpr84
human	TM7SF2	TM7SF2
mouse	TM7SF2	Tm7sf2
rat	TM7SF2	Tm7sf2
human	ZNF285A	ZNF285
human	DFNA5	GSDME
mouse	DFNA5	Gsdme
rat	DFNA5	Gsdme
human	C4ORF33	C4orf33
human	MEP1A	MEP1A
mouse	MEP1A	Mep1a
rat	MEP1A	Mep1a
human	FTHL2	FTH1P2
human	FTHL8	FTH1P8
human	FTHL3	FTH1P3
human	DOM3Z	DXO
mouse	DOM3Z	Dxo
rat	DOM3Z	Dxo
human	C9ORF30	MSANTD3
human	TCEB2	ELOB
mouse	TCEB2	Elob
rat	TCEB2	Elob
human	C15ORF21	HMGN2P46
human	NELF	NSMF
mouse	NELF	Nsmf
rat	NELF	Nsmf
human	C5ORF51	C5orf51
human	PAAF1	PAAF1
human	SP140L	SP140L
human	C6ORF150	CGAS
human	CES8	CES4A
mouse	CES8	Ces4a
rat	CES8	Ces4a
mouse	NUPL1	Nupl1
mouse	NUPL1	Nupl1
human	NUPL1	NUP58
rat	NUPL1	Nup58
human	MS4A6A	MS4A6A
rat	MS4A6A	Ms4a6a
rat	MS4A6A	Ms4a6b
human	BHLHB3	BHLHE41
mouse	BHLHB3	Bhlhe41
rat	BHLHB3	Bhlhe41
human	RAG1AP1	SLC50A1
mouse	RAG1AP1	Slc50a1
rat	RAG1AP1	Slc50a1
human	C14ORF121	CARMIL3
human	C6ORF130	OARD1
human	C17ORF61	TMEM256
mouse	SRPR	Srpr
human	SRPR	SRPRA
rat	SRPR	Srpra
human	HLA-DPA1	HLA-DPA1
human	ZNF443	ZNF443
human	KIAA0494	EFCAB14
human	PRKCABP	PICK1
mouse	PRKCABP	Pick1
rat	PRKCABP	Pick1
human	COPG	COPG1
mouse	COPG	Copg1
rat	COPG	Copg1
human	C12ORF32	RHNO1
human	COL24A1	COL24A1
mouse	COL24A1	Col24a1
rat	COL24A1	Col24a1
rat	COL24A1	Col24a1
human	DOPEY1	DOP1A
mouse	DOPEY1	Dop1a
rat	DOPEY1	Dop1a
human	LOC728519	LOC728519
human	FAM188A	MINDY3
mouse	FAM188A	Mindy3
rat	FAM188A	Mindy3
human	HLA-DRA	HLA-DRA
human	CSNK2A1P	CSNK2A3
human	CCL1	CCL1
mouse	CCL1	Ccl1
rat	CCL1	Ccl1
human	HLA-DPB1	HLA-DPB1
human	HLA-DPB1	HLA-DRB3
human	NAT12	NAA30
mouse	NAT12	Naa30
rat	NAT12	Naa30
human	CCDC55	NSRP1
mouse	CCDC55	Nsrp1
rat	CCDC55	Nsrp1
human	PIP5K2A	PIP4K2A
mouse	PIP5K2A	Pip4k2a
rat	PIP5K2A	Pip4k2a
human	C17ORF71	SMG8
human	IL8RB	CXCR2
mouse	IL8RB	Cxcr2
rat	IL8RB	Cxcr2
human	FAM70B	TMEM255B
mouse	FAM70B	Tmem255b
rat	FAM70B	Tmem255b
human	C10ORF47	PROSER2
human	HLA-DRB3	HLA-DRB3
human	C5ORF39	ANXA2R
human	SQRDL	SQOR
mouse	SQRDL	Sqor
rat	SQRDL	Sqor
human	HSZFP36	ZNF823
mouse	HSZFP36	Zfp81
human	CNIH	CNIH1
mouse	CNIH	Cnih1
rat	CNIH	Cnih1
human	C12ORF76	C12orf76
human	CABC1	COQ8A
mouse	CABC1	Coq8a
rat	CABC1	Coq8a
human	C16ORF80	CFAP20
human	C20ORF45	PRELID3B
human	C20ORF45	GNAS
human	DUSP3	DUSP3
mouse	DUSP3	Dusp3
rat	DUSP3	Dusp3
rat	DUSP3	Mpp3
human	KIAA0141	DELE1
mouse	KIAA0141	Dele1
human	ZNF671	ZNF671
human	MOSC1	MARC1
mouse	MOSC1	Marc1
rat	MOSC1	Marc1
human	C1ORF77	CHTOP
human	CES4	CES1P1
human	C22ORF25	TANGO2
human	PGA5	PGA5
mouse	PGA5	Pga5
rat	PGA5	Pga5
human	C6ORF192	SLC18B1
human	TNFRSF10A	TNFRSF10A
human	TMEM77	DRAM2
mouse	TMEM77	Dram2
rat	TMEM77	Dram2
human	NAIP	NAIP
mouse	NAIP	Naip1
rat	NAIP	Naip6
human	C5ORF32	CYSTM1
human	UBE2L3	UBE2L3
mouse	UBE2L3	Ube2l3
rat	UBE2L3	Ube2l3
human	C2ORF32	CNRIP1
mouse	C2ORF32	Cnrip1
human	FREQ	NCS1
mouse	FREQ	Ncs1
rat	FREQ	Ncs1
human	PGA3	PGA3
human	MAP3K7IP1	TAB1
mouse	MAP3K7IP1	Tab1
rat	MAP3K7IP1	Tab1
human	UFD1L	UFD1
mouse	UFD1L	Ufd1
human	RAB32	RAB32
mouse	RAB32	Rab32
rat	RAB32	Rab32
human	NPAL3	NIPAL3
mouse	NPAL3	Nipal3
rat	NPAL3	Nipal3
human	NAPRT1	NAPRT
mouse	NAPRT1	Naprt
rat	NAPRT1	Naprt
human	SIRPB1	SIRPB1
mouse	SIRPB1	Sirpb1a
human	C19ORF35	PEAK3
human	C1ORF112	C1orf112
human	C11ORF67	AAMDC
human	GPR177	WLS
mouse	GPR177	Wls
rat	GPR177	Wls
human	EMR2	ADGRE2
human	DEPDC6	DEPTOR
mouse	DEPDC6	Deptor
rat	DEPDC6	Deptor
human	C1ORF107	UTP25
human	ZNF792	ZNF792
human	PPPDE2	DESI1
mouse	PPPDE2	Desi1
rat	PPPDE2	Desi1
human	C9ORF46	PLGRKT
human	MRP63	MRPL57
mouse	MRP63	Mrpl57
rat	MRP63	Mrpl57
rat	NAT8B	Nat8b
human	NAT8B	NAT8B
mouse	NAT8B	Nat8b-ps
human	ZBED5	ZBED5
mouse	ZBED5	Zbed5
rat	ZBED5	Zbed5
human	SCARNA9	SCARNA9
human	SCARNA9	SCARNA9
mouse	SCARNA9	Scarna9
mouse	SCARNA9	Scarna9
human	C7ORF49	CYREN
human	C19ORF59	MCEMP1
human	C6ORF211	ARMT1
human	MTE	MT1IP
human	KIAA1715	LNPK
human	CEP110	CCP110
human	CEP110	CNTRL
mouse	CEP110	Ccp110
mouse	CEP110	Cntrl
rat	CEP110	Cntrl
human	MT1JP	MT1JP
human	C7ORF28A	CCZ1
human	C7ORF28A	CCZ1B
human	UNC84B	SUN2
mouse	UNC84B	Sun2
rat	UNC84B	Sun2
human	C20ORF127	MT1P3
human	C9ORF5	TMEM245
human	C1ORF122	C1orf122
human	ZNF101	ZNF101
human	C8ORF41	TTI2
human	MTMR15	FAN1
mouse	MTMR15	Fan1
rat	MTMR15	Fan1
human	PGBD2	PGBD2
rat	PGBD2	Pgbd2
human	PFTK1	CDK14
mouse	PFTK1	Cdk14
rat	PFTK1	Cdk14
human	MT2A	MT2A
rat	MT2A	Mt2A
human	LASS5	CERS5
mouse	LASS5	Cers5
rat	LASS5	Cers5
human	PLAC2	TINCR
human	C7ORF41	MTURN
human	MT1E	MT1E
human	MT1A	MT1A
mouse	MT1A	Polr2k
rat	MT1A	Mt1
human	HLA-DRB6	HLA-DRB6
human	ZNF594	ZNF594
human	FXC1	TIMM10B
mouse	FXC1	Timm10b
rat	FXC1	Timm10b
human	SFRS8	SFSWAP
mouse	SFRS8	Sfswap
rat	SFRS8	Sfswap
human	NARG1L	NAA16
mouse	NARG1L	Naa16
human	LOC644090	LOC644090
human	C15ORF48	C15orf48
human	C12ORF59	TMEM52B
human	RABL4	IFT27
mouse	RABL4	Ift27
rat	RABL4	Ift27
human	SNX26	ARHGAP33
mouse	SNX26	Arhgap33
rat	SNX26	Arhgap33
human	CAMSAP1L1	CAMSAP2
mouse	CAMSAP1L1	Camsap2
rat	CAMSAP1L1	Camsap2
human	FAM113B	PCED1B
mouse	FAM113B	Pced1b
rat	FAM113B	Pced1b
human	C5ORF13	NREP
human	FAM164A	ZC2HC1A
mouse	FAM164A	Zc2hc1a
rat	FAM164A	Zc2hc1a
human	SFRS6	SRSF6
mouse	SFRS6	Srsf6
rat	SFRS6	Srsf6
human	ZNF650	UBR3
mouse	ZNF650	Ubr3
human	AZI1	AZIN1
human	AZI1	CEP131
mouse	AZI1	Cep131
rat	AZI1	Cep131
human	CCDC111	PRIMPOL
mouse	CCDC111	Primpol
rat	CCDC111	Primpol
human	C5ORF24	C5orf24
human	P2RY5	LPAR6
mouse	P2RY5	Lpar6
rat	P2RY5	Lpar6
human	C22ORF32	SMDT1
human	MT1H	MT1H
human	KIAA1370	FAM214A
mouse	KIAA1370	Fam214a
human	GARNL4	RAP1GAP2
mouse	GARNL4	Rap1gap2
rat	GARNL4	Rap1gap2
human	MT1F	MT1F
